,cartera_contactada,bajas_capturadas
862,0.42596,1.0
863,0.42646,1.0
864,0.42695,1.0
865,0.42744,1.0
866,0.42794,1.0
867,0.42843,1.0
868,0.42892,1.0
869,0.42942,1.0
870,0.42991,1.0
871,0.4304,1.0
872,0.4309,1.0
873,0.43139,1.0
874,0.43189,1.0
875,0.43238,1.0
876,0.43287,1.0
877,0.43337,1.0
878,0.43386,1.0
879,0.43435,1.0
880,0.43485,1.0
881,0.43534,1.0
882,0.43583,1.0
883,0.43633,1.0
884,0.43682,1.0
885,0.43731,1.0
886,0.43781,1.0
887,0.4383,1.0
888,0.4388,1.0
889,0.43929,1.0
890,0.43978,1.0
891,0.44028,1.0
892,0.44077,1.0
893,0.44126,1.0
894,0.44176,1.0
895,0.44225,1.0
896,0.44274,1.0
897,0.44324,1.0
898,0.44373,1.0
899,0.44423,1.0
900,0.44472,1.0
901,0.44521,1.0
902,0.44571,1.0
903,0.4462,1.0
904,0.44669,1.0
905,0.44719,1.0
906,0.44768,1.0
907,0.44817,1.0
908,0.44867,1.0
909,0.44916,1.0
910,0.44965,1.0
911,0.45015,1.0
912,0.45064,1.0
913,0.45114,1.0
914,0.45163,1.0
915,0.45212,1.0
916,0.45262,1.0
917,0.45311,1.0
918,0.4536,1.0
919,0.4541,1.0
920,0.45459,1.0
921,0.45508,1.0
922,0.45558,1.0
923,0.45607,1.0
924,0.45656,1.0
925,0.45706,1.0
926,0.45755,1.0
927,0.45805,1.0
928,0.45854,1.0
929,0.45903,1.0
930,0.45953,1.0
931,0.46002,1.0
932,0.46051,1.0
933,0.46101,1.0
934,0.4615,1.0
935,0.46199,1.0
936,0.46249,1.0
937,0.46298,1.0
938,0.46347,1.0
939,0.46397,1.0
940,0.46446,1.0
941,0.46496,1.0
942,0.46545,1.0
943,0.46594,1.0
944,0.46644,1.0
945,0.46693,1.0
946,0.46742,1.0
947,0.46792,1.0
948,0.46841,1.0
949,0.4689,1.0
950,0.4694,1.0
951,0.46989,1.0
952,0.47038,1.0
953,0.47088,1.0
954,0.47137,1.0
955,0.47187,1.0
956,0.47236,1.0
957,0.47285,1.0
958,0.47335,1.0
959,0.47384,1.0
960,0.47433,1.0
961,0.47483,1.0
962,0.47532,1.0
963,0.47581,1.0
964,0.47631,1.0
965,0.4768,1.0
966,0.4773,1.0
967,0.47779,1.0
968,0.47828,1.0
969,0.47878,1.0
970,0.47927,1.0
971,0.47976,1.0
972,0.48026,1.0
973,0.48075,1.0
974,0.48124,1.0
975,0.48174,1.0
976,0.48223,1.0
977,0.48272,1.0
978,0.48322,1.0
979,0.48371,1.0
980,0.48421,1.0
981,0.4847,1.0
982,0.48519,1.0
983,0.48569,1.0
984,0.48618,1.0
985,0.48667,1.0
986,0.48717,1.0
987,0.48766,1.0
988,0.48815,1.0
989,0.48865,1.0
990,0.48914,1.0
991,0.48963,1.0
992,0.49013,1.0
993,0.49062,1.0
994,0.49112,1.0
995,0.49161,1.0
996,0.4921,1.0
997,0.4926,1.0
998,0.49309,1.0
999,0.49358,1.0
1000,0.49408,1.0
1001,0.49457,1.0
1002,0.49506,1.0
1003,0.49556,1.0
1004,0.49605,1.0
1005,0.49654,1.0
1006,0.49704,1.0
1007,0.49753,1.0
1008,0.49803,1.0
1009,0.49852,1.0
1010,0.49901,1.0
1011,0.49951,1.0
1012,0.5,1.0
1013,0.50049,1.0
1014,0.50099,1.0
1015,0.50148,1.0
1016,0.50197,1.0
1017,0.50247,1.0
1018,0.50296,1.0
1019,0.50346,1.0
1020,0.50395,1.0
1021,0.50444,1.0
1022,0.50494,1.0
1023,0.50543,1.0
1024,0.50592,1.0
1025,0.50642,1.0
1026,0.50691,1.0
1027,0.5074,1.0
1028,0.5079,1.0
1029,0.50839,1.0
1030,0.50888,1.0
1031,0.50938,1.0
1032,0.50987,1.0
1033,0.51037,1.0
1034,0.51086,1.0
1035,0.51135,1.0
1036,0.51185,1.0
1037,0.51234,1.0
1038,0.51283,1.0
1039,0.51333,1.0
1040,0.51382,1.0
1041,0.51431,1.0
1042,0.51481,1.0
1043,0.5153,1.0
1044,0.51579,1.0
1045,0.51629,1.0
1046,0.51678,1.0
1047,0.51728,1.0
1048,0.51777,1.0
1049,0.51826,1.0
1050,0.51876,1.0
1051,0.51925,1.0
1052,0.51974,1.0
1053,0.52024,1.0
1054,0.52073,1.0
1055,0.52122,1.0
1056,0.52172,1.0
1057,0.52221,1.0
1058,0.5227,1.0
1059,0.5232,1.0
1060,0.52369,1.0
1061,0.52419,1.0
1062,0.52468,1.0
1063,0.52517,1.0
1064,0.52567,1.0
1065,0.52616,1.0
1066,0.52665,1.0
1067,0.52715,1.0
1068,0.52764,1.0
1069,0.52813,1.0
1070,0.52863,1.0
1071,0.52912,1.0
1072,0.52962,1.0
1073,0.53011,1.0
1074,0.5306,1.0
1075,0.5311,1.0
1076,0.53159,1.0
1077,0.53208,1.0
1078,0.53258,1.0
1079,0.53307,1.0
1080,0.53356,1.0
1081,0.53406,1.0
1082,0.53455,1.0
1083,0.53504,1.0
1084,0.53554,1.0
1085,0.53603,1.0
1086,0.53653,1.0
1087,0.53702,1.0
1088,0.53751,1.0
1089,0.53801,1.0
1090,0.5385,1.0
1091,0.53899,1.0
1092,0.53949,1.0
1093,0.53998,1.0
1094,0.54047,1.0
1095,0.54097,1.0
1096,0.54146,1.0
1097,0.54195,1.0
1098,0.54245,1.0
1099,0.54294,1.0
1100,0.54344,1.0
1101,0.54393,1.0
1102,0.54442,1.0
1103,0.54492,1.0
1104,0.54541,1.0
1105,0.5459,1.0
1106,0.5464,1.0
1107,0.54689,1.0
1108,0.54738,1.0
1109,0.54788,1.0
1110,0.54837,1.0
1111,0.54886,1.0
1112,0.54936,1.0
1113,0.54985,1.0
1114,0.55035,1.0
1115,0.55084,1.0
1116,0.55133,1.0
1117,0.55183,1.0
1118,0.55232,1.0
1119,0.55281,1.0
1120,0.55331,1.0
1121,0.5538,1.0
1122,0.55429,1.0
1123,0.55479,1.0
1124,0.55528,1.0
1125,0.55577,1.0
1126,0.55627,1.0
1127,0.55676,1.0
1128,0.55726,1.0
1129,0.55775,1.0
1130,0.55824,1.0
1131,0.55874,1.0
1132,0.55923,1.0
1133,0.55972,1.0
1134,0.56022,1.0
1135,0.56071,1.0
1136,0.5612,1.0
1137,0.5617,1.0
1138,0.56219,1.0
1139,0.56269,1.0
1140,0.56318,1.0
1141,0.56367,1.0
1142,0.56417,1.0
1143,0.56466,1.0
1144,0.56515,1.0
1145,0.56565,1.0
1146,0.56614,1.0
1147,0.56663,1.0
1148,0.56713,1.0
1149,0.56762,1.0
1150,0.56811,1.0
1151,0.56861,1.0
1152,0.5691,1.0
1153,0.5696,1.0
1154,0.57009,1.0
1155,0.57058,1.0
1156,0.57108,1.0
1157,0.57157,1.0
1158,0.57206,1.0
1159,0.57256,1.0
1160,0.57305,1.0
1161,0.57354,1.0
1162,0.57404,1.0
1163,0.57453,1.0
1164,0.57502,1.0
1165,0.57552,1.0
1166,0.57601,1.0
1167,0.57651,1.0
1168,0.577,1.0
1169,0.57749,1.0
1170,0.57799,1.0
1171,0.57848,1.0
1172,0.57897,1.0
1173,0.57947,1.0
1174,0.57996,1.0
1175,0.58045,1.0
1176,0.58095,1.0
1177,0.58144,1.0
1178,0.58193,1.0
1179,0.58243,1.0
1180,0.58292,1.0
1181,0.58342,1.0
1182,0.58391,1.0
1183,0.5844,1.0
1184,0.5849,1.0
1185,0.58539,1.0
1186,0.58588,1.0
1187,0.58638,1.0
1188,0.58687,1.0
1189,0.58736,1.0
1190,0.58786,1.0
1191,0.58835,1.0
